D2_Index,Question_Text_Truncated,Status,Issue_Type,Issue_Detail
D2-Q49,Amylase is an enzyme responsible for breaking down which macronutrient?,APPROVED,,
D2-Q50,Lipase is an enzyme responsible for breaking down which macronutrient?,APPROVED,,
D2-Q51,Protease is an enzyme responsible for breaking down which macronutrient?,APPROVED,,
D2-Q52,Which nutrient increases frequency and quantity of bowel movements?,APPROVED,,
D2-Q53,Which part of the autonomic nervous system is the fight or flight state?,APPROVED,,
D2-Q54,What part of the autonomic nervous system is the rest and digest state?,APPROVED,,
D2-Q55,What is the stomachs optimal pH range?,APPROVED,,
D2-Q56,Which of the following is a type of white blood cell?,APPROVED,,
D2-Q57,What is the name for the type of basophil that takes up residence along blood vessels?,AMBIGUOUS,AMBIGUOUS,"Mast cells are not technically a 'type of basophil' — they share a common progenitor but are distinct lineages. Defensible in nutrition education context."
D2-Q58,What is the major gland in the immune system?,APPROVED,,
D2-Q59,What is the precursor of melatonin?,APPROVED,,
D2-Q60,Which gland secretes melatonin?,APPROVED,,
D2-Q61,What is the most common marker to measure inflammation in the body?,APPROVED,,
D2-Q62,What is cell signaling?,APPROVED,,
D2-Q63,Where is the majority of ATP produced within cells?,APPROVED,,
D2-Q64,Within the electron transport system which are involved in ATP formation?,APPROVED,,
D2-Q65,How many bones does the human skeleton contain?,APPROVED,,
D2-Q66,White blood cells are also called,APPROVED,,
D2-Q67,Which correctly lists the components of the large intestine in order?,APPROVED,,
D2-Q68,Which structure allows blood to first enter the small and large intestine and pancreas?,AMBIGUOUS+TYPO,AMBIGUOUS+TYPO,"Question wording is backward — hepatic portal vein DRAINS blood FROM these organs, does not deliver blood TO them. Also 'Sphincter of Ohdi' → 'Sphincter of Oddi'"
D2-Q69,Which of the following promotes cholecystokinin release?,APPROVED,,
D2-Q70,All of the following stimulate appetite cravings except,APPROVED,,
D2-Q71,All of the following are components of pancreatic juice EXCEPT,APPROVED,,
D2-Q72,An enzyme in the stomach that can hydrolyze protein is,FACTUAL_ERROR,FACTUAL_ERROR,"Answer says trypsin (index 0) but trypsin is a PANCREATIC enzyme. The correct stomach protease is PEPSIN. None of the options is correct for the question as written."
D2-Q73,Gallbladder bile has the greatest concentration of which compound?,AMBIGUOUS,AMBIGUOUS,"Answer says bilirubin. Bile salts are the dominant component (not an option). Among given options cholesterol is present in higher concentration than bilirubin. Answer debatable."
D2-Q74,Which supports the digestion of protein in the stomach?,APPROVED,,
D2-Q75,Peroxisomes are where very long chain fatty acids undergo beta oxidation,APPROVED,,
D2-Q76,Which of the following is untrue about ATP?,APPROVED,,
D2-Q77,Blood from pancreas spleen GI tract will next perfuse the heart through hepatic portal vein,APPROVED,,
D2-Q78,Which enzymes initiate and regulate fatty acid synthesis?,APPROVED,,
D2-Q79,Where are abundant amounts of phospholipids found?,APPROVED,,
D2-Q80,A significant purpose of the pentose phosphate pathway is the reduction of,APPROVED,,
D2-Q81,A build-up of cholesterol in a cell may,APPROVED,,
D2-Q82,Which of the following is a true statement about fatty acids?,STRUCTURAL,STRUCTURAL,"Option A has leftover formatting: 'Option 1Trans fatty acids' → should be 'Trans fatty acids'"
D2-Q83,Humans synthesize about how many mg of cholesterol each day?,APPROVED,,
D2-Q84,Which amino acid is eventually converted to melatonin?,APPROVED,,
D2-Q85,Which is true about transamination reactions?,APPROVED,,
D2-Q86,Why is protein essential?,APPROVED,,
D2-Q87,Which of the following delays gastric emptying?,APPROVED,,
D2-Q88,Soluble fibers dissolve in water and include cellulose hemicellulose and lignin,APPROVED,,
D2-Q89,Which of the following is not an essential fatty acid?,APPROVED,,
D2-Q90,Which enzyme is responsible for rate limiting step in cholesterol synthesis?,APPROVED,,
D2-Q91,Which of the following is not a sulfur containing amino acid?,APPROVED,,
D2-Q92,Pyridoxal phosphate is needed in transamination reactions,APPROVED,,
D2-Q93,Which reaction is responsible for removing amino groups to form ammonia?,APPROVED,,
D2-Q94,All enzymes are proteins,APPROVED,NOTE,"Technically ribozymes exist but this is standard teaching in nutrition education"
D2-Q95,What is the overall role of enzymes?,APPROVED,,
D2-Q96,Grams of protein determined by multiplying grams of nitrogen by 6.25,APPROVED,,
D2-Q97,Which amino acid is non-essential?,APPROVED,,
D2-Q98,The human body is about what percent water by mass?,APPROVED,,
D2-Q99,Sweating is controlled by the,APPROVED,,
D2-Q100,Which is the primary route of water loss?,APPROVED,,
D2-Q101,Which helps to regulate sodium levels?,APPROVED,,
D2-Q102,What is released by kidneys when sodium blood pressure or blood volume decrease?,APPROVED,,
D2-Q103,What condition is caused by redistribution of water among body compartments?,APPROVED,,
D2-Q104,How many amino acids are considered essential?,FACTUAL_ERROR,FACTUAL_INCONSISTENCY,"Answer says 8 but D1-Q24 says 9. Modern standard = 9 essential amino acids (including histidine). Internal contradiction within question bank."
D2-Q105,Where does protein digestion begin?,APPROVED,,
D2-Q106,What causes pepsinogen to be activated into pepsin?,APPROVED,,
D2-Q107,What determines the quality of protein?,APPROVED,,
D2-Q108,Which is not a function of protein in the body?,APPROVED,,
D2-Q109,What makes amino acids unique from other energy nutrients?,APPROVED,,
D2-Q110,Non-essential amino acids are intermediates of what cycle?,APPROVED,,
D2-Q111,Which amino acid is known for interorgan transport of nitrogen and carbon?,APPROVED,,
D2-Q112,Which amino acid is not involved in neurotransmission?,APPROVED,,
D2-Q113,Which cycle converts ammonia into a non toxic substance?,APPROVED,,
D2-Q114,Which is the key regulatory enzyme for fatty acid synthesis?,APPROVED,,
D2-Q115,A glycerol two fatty acids and a phosphate group make up what?,APPROVED,,
D2-Q116,Which is the most prevalent saturated fatty acid in the Western diet?,AMBIGUOUS,AMBIGUOUS,"Answer says 'Both are common' but palmitic acid is clearly the most prevalent. The 'best' answer should be palmitic acid."
D2-Q117,Which are the most prevalent unsaturated fatty acids in the Western diet?,APPROVED,,
D2-Q118,Where does fatty acid oxidation take place?,APPROVED,,
D2-Q119,What is the precursor to eicosanoids?,TYPO,TYPO,"'thromboxane's' → 'thromboxanes' (no apostrophe)"
D2-Q120,Beta glucans pectin and gums are considered,APPROVED,,
D2-Q121,What binds cholesterol from food and bile salts and reduces absorption?,APPROVED,,
D2-Q122,Which area of the body requires the most glucose for energy?,APPROVED,,
D2-Q123,Which area of the body absorbs water and electrolytes?,APPROVED,,
D2-Q124,The lymphatic system is important in the absorption of lipids,APPROVED,,
D2-Q125,What is the site of protein synthesis?,APPROVED,,
D2-Q126,Production of protein does not require much ATP,APPROVED,,
D2-Q127,Where is connective tissue bone cartilage and tendons composed?,AMBIGUOUS,AMBIGUOUS,"Wording is confusing — 'where are they composed?' Golgi answer is partially defensible (processing/packaging) but question phrasing is poor."
D2-Q128,Muscles are activated by the,APPROVED,,
D2-Q129,What type of muscle fibers are recruited first during muscle contrations?,TYPO,TYPO,"'contrations' → 'contractions'"
D2-Q130,What powers muscle contractions?,APPROVED,,
D2-Q131,As exercise intensity increases what becomes an important fuel source?,APPROVED,,
D2-Q132,Endurance and strength athletes should consume at least how much protein?,APPROVED,,
D2-Q133,What is the primary fuel source during lower intensity or prolonged exercise?,APPROVED,,
D2-Q134,Sweating losses can exceed 2 liters per hour for some athletes,APPROVED,,
D2-Q135,Which of the following is considered a carotenoid?,FACTUAL_ERROR,FACTUAL_ERROR,"Retinol retinal and retinoic acid are RETINOIDS (preformed vitamin A) NOT carotenoids. Carotenoids are plant-based precursors like beta-carotene. Answer key is wrong."
D2-Q136,Which nutrient plays a vital role in night vision cell differentiation?,TYPO,TYPO,"'heatlh' → 'health'"
D2-Q137,Which nutrient plays a role in calcium absorption and bone mineralization?,APPROVED,,
D2-Q138,Which nutrient is an antioxidant protecting cell membrane?,APPROVED,,
D2-Q139,Which nutrient is an anticoagulant and supports bone protein synthesis?,FACTUAL_ERROR,FACTUAL_ERROR,"Vitamin K is PRO-coagulant (supports blood CLOTTING) not anticoagulant. Warfarin blocks vitamin K because vitamin K promotes coagulation. The question stem is factually wrong."
D2-Q140,Which nutrient supports collagen formation and iron reduction to ferrous form?,APPROVED,,
D2-Q141,Which B vitamin plays a role as FAD in energy yielding pathways?,APPROVED,,
D2-Q142,Which B vitamin plays a role as NAD supporting electron transfer?,APPROVED,,
D2-Q143,Pyridoxal phosphate is the active form of which B vitamin?,APPROVED,,
D2-Q144,Which B vitamin needs intrinsic factor to be absorbed?,APPROVED,,
D2-Q145,Which does not inhibit calcium absorption?,APPROVED,,
D2-Q146,Which nutrient is crucial for proper muscle contractions?,APPROVED,,
D2-Q147,Chlorophyll is primarily known for containing,APPROVED,,
D2-Q148,Which electrolyte is found intracellularly?,APPROVED,,
D2-Q149,Which electrolyte is found extracellularly?,APPROVED,,
D2-Q150,Which liver hormone inhibits iron absorption when iron levels are high?,APPROVED,,
D2-Q151,Zinc is a cofactor for more than 200 enzymes absorbed via ZIP4,APPROVED,,
D2-Q152,Which mineral acts primarily through thyroxin?,APPROVED,,
D2-Q153,Which mineral must be bound to a protein or it will act as a pro-oxidant?,APPROVED,,
D2-Q154,Which is a cofactor for glutathione peroxidase?,APPROVED,,
D2-Q155,Which mineral supports the hardening of teeth?,APPROVED,,
D2-Q156,Which mineral is found in bone as hydroxyapatite activates enzymes cartilage?,APPROVED,,
D2-Q157,Nutraceuticals can be of plant animal or microbial origin,APPROVED,,
D2-Q158,Steroid hormones are synthesized from,APPROVED,,
D2-Q159,Vital compound in every cell for cellular energy production and antioxidant,TYPO,TYPO,"'Resveraterol' → 'Resveratrol' in option B"
D2-Q160,Which form of estrogen is the primary form made after menopause?,APPROVED,,
D2-Q161,Which form of estrogen is the primary form made during pregnancy?,APPROVED,,
D2-Q162,Which form of estrogen is the primary form during reproductive years?,APPROVED,,
D2-Q163,Which produces thyroid releasing hormone TRH?,APPROVED,,
D2-Q164,Which produces thyroid stimulating hormone TSH?,APPROVED,,
D2-Q165,Which produces T4 and T3?,APPROVED,,
D2-Q166,Which enzyme breaks down protein and is produced by gastric chief cells?,APPROVED,,
D2-Q167,Which releases gonadal releasing hormone?,APPROVED,,
D2-Q168,Which releases follicle stimulating hormone?,APPROVED,,
D2-Q169,Which releases estrogen and progesterone?,APPROVED,,
D2-Q170,What is the role of calcium in cardiac muscle contraction?,APPROVED,,
D2-Q171,Which part of the small intestine is primarily responsible for lipid absorption?,APPROVED,,
D2-Q172,What is erythropoietin EPO and its primary function?,APPROVED,,
D2-Q173,What is one of the key roles of the lymphatic system?,APPROVED,,
D2-Q174,What are the main functions of secretin?,APPROVED,,
D2-Q175,Which is true about lymph nodes?,APPROVED,,
D2-Q176,Which is true about phagocytes?,APPROVED,,
D2-Q177,Which is true about the role of digestive enzymes?,APPROVED,,
D2-Q178,Which is a function of the trigeminal nerve?,AMBIGUOUS,AMBIGUOUS,"'Inhibiting seizures' is not a standard trigeminal nerve function. TNS is experimental therapy. Core anatomy (face/forehead) is correct but the seizure claim is non-standard."
D2-Q179,Which condition is characterized by swelling from too much fluid in tissues?,APPROVED,,
D2-Q180,What is the function of alveoli in the lungs?,APPROVED,,
D2-Q181,What is a common result of a deviated septum?,APPROVED,,
D2-Q182,The hepatic vein is located in the,APPROVED,,
D2-Q183,Which is true about Peyers patches?,APPROVED,,
D2-Q184,Erythropoietin hormone is secreted by the,APPROVED,,
D2-Q185,Tonsils adenoids and spleen are all part of the ___ system,APPROVED,,
D2-Q186,Trigeminal pain is located in the ___ area,APPROVED,,
D2-Q187,What is the site of most ATP production within cells?,APPROVED,,
D2-Q188,All the following stimulate food intake except,APPROVED,,
D2-Q189,Which bodily organ plays a key role in detoxification?,APPROVED,,
D2-Q190,What is the term for deficient gastric acid secretion?,APPROVED,,
D2-Q191,Increased calcium resorption in kidney tubules is stimulated by,APPROVED,,
