Q#,Question (truncated),Status,Issue,Confidence,Recommended Fix,Decision,Fixed By,Date Fixed
Q606,Not supported for frequent colds?,✅ SOUND,Calorie restricted diet correct,HIGH,,,,
Q611,Not supported for kidney stones?,✅ SOUND,High purine foods correct - increase uric acid stones,HIGH,,,,
Q614,Not supported for MS?,✅ SOUND,High saturated fat diet correct,HIGH,,,,
Q615,Not supported for osteoarthritis?,✅ SOUND,Nightshade vegetables correct - may worsen inflammation,HIGH,,,,
Q620,Not supported for psoriasis?,✅ SOUND,Grassfed milk correct,HIGH,,,,
Q624,Not supported for RA?,✅ SOUND,Whole grains and dairy correct - dairy may worsen RA,HIGH,,,,
Q634,Not supported for IBS?,✅ SOUND,Lavender essential oil correct - peppermint/ginger/fennel are supported,HIGH,,,,
Q648,Anemia caused by all except?,✅ SOUND,Excessive hydration correct,HIGH,,,,
Q657,Not supported for atherosclerosis?,✅ SOUND,Decrease monounsaturated fats correct - you should increase them,HIGH,,,,
Q667,Cite Wikipedia sources?,✅ SOUND,False correct - all sources need citation,HIGH,,,,
Q669,Quality research paper except?,✅ SOUND,Researchers opinions correct,HIGH,,,,
Q672,NOT manipulating research intention?,✅ SOUND,Direct quote with proper citation correct,HIGH,,,,
Q674,Study design measuring intervention effectiveness?,✅ SOUND,RCT correct,HIGH,,,,
Q703,Plagiarism statement false?,✅ SOUND,Close paraphrase still needs citation,HIGH,,,,
Q715,NOT characteristic of reliable sources?,✅ SOUND,Popular press articles correct,HIGH,,,,
Q727,Method for unreliable source?,✅ SOUND,PhD alone doesn't make source reliable,HIGH,,,,
Q733,Plagiarism statement false?,✅ SOUND,Duplicate of Q703 - same content same answer,HIGH,,,,
Q735,Which is false re scope of practice?,✅ SOUND,Meal plans are individualized nutrition service,HIGH,,,,
Q740,False statement?,✅ SOUND,Generalized programs is false - individualized,HIGH,"Removed embedded a./b. prefixes, source + Supabase",FIXED,Dwight,2026-04-08
Q754,Not a key component of mindful eating?,✅ SOUND,Planning rest of day correct,HIGH,,,,
Q756,Which is false?,✅ SOUND,Exercise causes arthritis is false,HIGH,,,,
Q761,Quality paper except?,✅ SOUND,Duplicate of Q669,HIGH,,,,
Q765,Avoid during acute intestinal illness?,✅ SOUND,Dairy correct,HIGH,,,,
Q788,Enzyme for protein in stomach?,✅ SOUND,Pepsin correct,HIGH,"Fixed typo Amlyase → Amylase in 2 questions, source + Supabase",FIXED,Dwight,2026-04-08
Q794,Calcium in cardiac muscle contraction?,✅ SOUND,Binds troponin correct,HIGH,,,,
Q829,Hepatic vein location?,✅ SOUND,Liver correct,HIGH,,,,
Q853,Low stomach acid term?,✅ SOUND,Hypochlorhydria correct (despite typo),HIGH,"Fixed typo Hyprochlorhydria → Hypochlorhydria, source + Supabase",FIXED,Dwight,2026-04-08
Q871,Enhance iron absorption?,✅ SOUND,Ascorbic acid correct,HIGH,,,,
Q874,Vitamin A overdose EXCEPT?,✅ SOUND,Garlic breath correct - associated with selenium toxicity not vitamin A,HIGH,,,,
Q875,Functions of fat EXCEPT?,✅ SOUND,Primary/preferred fuel source is glucose not fat,HIGH,,,,
