D1_Index,Question_Text_Truncated,Status,Issue_Type,Issue_Detail
D1-Q204,About 60% of __________________ in the body is found in bone.,APPROVED,,
D1-Q205,________________ deficiency is common in the geriatric population and in women d,TYPO,TYPO,'lead o mental' → 'lead to mental'
D1-Q206,Which foods contains the highest concentration of magnesium?,APPROVED,,
D1-Q207,The thyroid gland adds iodine to the amino acid _______________ to create thyroi,APPROVED,,
D1-Q208,Goiters result when which trace mineral is too low in the body?,APPROVED,,
D1-Q209,Excess iodine can inhibit thyroid gland synthesis which is why the recommended d,APPROVED,,
D1-Q210,__________ plays a central role in the hemoglobin molecule of our red blood cell,APPROVED,,
D1-Q211,_______________ deficiency is the most common nutrient deficiency in the U.S.,APPROVED,,
D1-Q212,_____________ is a component of the antioxidant glutathione peroxidase and works,APPROVED,,
D1-Q213,"____________ is a trace mineral suggested to function in hormone, cholesterol, a",APPROVED,,
D1-Q214,Which situation require additional iron intake?,APPROVED,,
D1-Q215,Which of the following are the best sources of selenium?,APPROVED,,
D1-Q216,Which population often shows marginal zinc deficiency in the U.S.?,APPROVED,,
D1-Q217,___________ is very similar to choline. When choline donates one of its methyl g,APPROVED,,
D1-Q218,Which is the main nutrient involved in controlling homocysteine levels?,APPROVED,,
D1-Q219,Betaine is known for its ability to help the liver process _____________.,APPROVED,,
D1-Q220,_____________ is a vitaminlike compound that stimulates the breakdown of long-ch,APPROVED,,
D1-Q221,______________ deficiency is linked to a large number of heart disorders.,APPROVED,,
D1-Q222,Carnitine is synthesized from the amino acid ______________.,APPROVED,,
D1-Q223,Carnosine is a small protein compound composed of the amino acids __________ and,APPROVED,,
D1-Q224,"________________ is suggested to protect against radiation damage, improve the f",TYPO,TYPO,'I is also' → 'It is also'
D1-Q225,Some _______________ are converted to vitamin A while all exert antioxidant acti,APPROVED,,
D1-Q226,Which food is known for being a good source of lycopene?,APPROVED,,
D1-Q227,______________ is the green pigment of plants found in the chloroplast compartme,APPROVED,,
D1-Q228,Which of the following is a good source of Ellagic acid?,APPROVED,,
D1-Q229,Which of the following is a good source of chlorophyll?,APPROVED,,
D1-Q230,_____________ is a potent antioxidant that blocks the cancer causing actions of ,APPROVED,,
D1-Q231,Which of the following is the best food source of live enzymes?,APPROVED,,
D1-Q232,Which of the following is the well known enzyme found in pineapple?,APPROVED,,
D1-Q233,Which group of phytonutrients have been found to support collagen metabolism?,APPROVED,,
D1-Q234,"Cysteine, glutamic acid, and glycine make up which compound?",APPROVED,,
D1-Q235,____________ helps the body convert fat soluble toxins into a water soluble form,APPROVED,,
D1-Q236,Artichokes are particularly great for which population due to their rich content,APPROVED,,
D1-Q237,"While inulin is not utilized by the body for energy, it is broken down into othe",APPROVED,,
D1-Q238,Arugula is a __________________ vegetable known for its anticancer compounds kno,TYPO,TYPO,Option A 'Nightsade' → 'Nightshade'
D1-Q239,"The pigments that gives beets their rich, purple color is known as ___________. ",APPROVED,,
D1-Q240,Broccoli is particularly supportive for the prevention of which condition due to,APPROVED,,
D1-Q241,Indole-3-carbinole in cabbage has been shown to increase the rate at which _____,APPROVED,,
D1-Q242,"Beta-carotene, which is present in high levels in carrots, provides protection a",APPROVED,,
D1-Q243,Celery is known for its phytochemical compounds known as ______________ which sh,TYPO,TYPO,'while blood cell' → 'white blood cell'
D1-Q244,______________-based juices can serve as a great electrolyte drink after workout,APPROVED,,
D1-Q245,"_____________ are excellent sources of silica, a trace mineral that contributes ",APPROVED,,
D1-Q246,Dandelion is known to support the _____________ due to it boosting the flow of b,APPROVED,,
D1-Q247,"____________ is referred to as an intestinal antispasmodic, or compound that rel",APPROVED,,
D1-Q248,Which medicinal food contains the compound known as allicin?,APPROVED,,
D1-Q249,____________ is a good nondairy source of calcium,APPROVED,,
D1-Q250,Onions are a particularly good source of organic _______ compounds.,APPROVED,,
D1-Q251,A boiled potato has a higher glycemic index than a baked potato.,APPROVED,,
D1-Q252,Adding _________________ to a high glycemic and carb heavy meal can reduce the g,APPROVED,,
D1-Q253,Winter squash is particularly rich in _______________.,APPROVED,,
D1-Q254,Avocados are high in which type of fat?,APPROVED,,
D1-Q255,Bananas are rich in _________ making it supportive of blood pressure regulation.,APPROVED,,
D1-Q256,_____________ are known for their health benefits largely due to the compound kn,APPROVED,,
D1-Q257,Which mineral is particularly known for binding oxalates in the gut?,APPROVED,,
D1-Q258,Individuals with celiac disease may also have to avoid which foods?,APPROVED,,
D1-Q259,Which group of B vitamins are important for regulating homocysteine levels in th,APPROVED,,
D1-Q260,Which of the following is a common source of aluminum?,APPROVED,,
D1-Q261,Raw foods contains fewer live enzymes because they are activated only when cooki,APPROVED,,
D1-Q262,"Beets, kale, collards, spinach, and green beans are low oxalate foods.",APPROVED,,
D1-Q263,"What is annatto, and what is one of its uses?",APPROVED,,
D1-Q264,What effect does cooking vegetables have on glutathione levels?,APPROVED,,
D1-Q265,"What is the best way to avoid food additives such as preservatives, artificial c",APPROVED,,
D1-Q266,Which of the following is the most reliable way to identify gluten in food ingre,APPROVED,,
D1-Q267,Nutritional therapies for chronic fatigue syndrome include high doses of vitamin,APPROVED,,
D1-Q268,Which of the following conditions can result from biotin deficiency in children?,APPROVED,,
D1-Q269,Which of the following is a role of the amino acid arginine?,APPROVED,,
D1-Q270,Which of the following is a function of glutamine in the human body?,APPROVED,,
D1-Q271,Which of the following is a role of the amino acid lysine in the body?,APPROVED,,
D1-Q272,Which of the following factors can contribute to mild dehydration?,APPROVED,,
D1-Q273,Which of the following terms on a food label indicates that sugar has been added,APPROVED,,
D1-Q274,_________________ are inorganic salts that are used as preservatives in many foo,APPROVED,,
D1-Q275,"Cellulose, pectin, and hemicellulose are considered fibers while fibrinogen is c",APPROVED,,
D1-Q276,Alpha linolenic acid is what type of fatty acid?,APPROVED,,
D1-Q277,Which of the following does pH measure?,APPROVED,,
D1-Q278,What is the normal fasting blood glucose concentration?,APPROVED,,
D1-Q279,Which of the following is least likely to break down carbohydrates?,APPROVED,,
D1-Q280,"Professional health organizations such, as the American Heart Association, and t",ERROR,ERROR,"Stem says 'Dietary Guidelines 2015-2025' — should be '2020-2025'; also 'such, as' → 'such as'"
D1-Q281,Which of the following gluten free grains may need to be removed with celiac dis,APPROVED,,
D1-Q282,Which of the following nutrients helps to regulate cholesterol levels by binding,APPROVED,,
D1-Q283,Which B vitamin has been shown to lower LDL cholesterol?,APPROVED,,
D1-Q284,Which of the following is a high purine food that should be avoided with gout?,APPROVED,,
D1-Q285,Energy deficiency produces which of the following:,APPROVED,,
D1-Q286,Intestinal absorption of dietary iron may be enhanced by concurrent ingestion of,APPROVED,,
D1-Q287,High intakes of zinc will interfere with the absorption and utilization of which,APPROVED,,
D1-Q288,Symptoms of vitamin A overdose include all the following EXCEPT:,APPROVED,,
D1-Q289,All the following are functions of fat in human health except:,APPROVED,,
D1-Q290,This type of lipoprotein transports cholesterol from the liver to places in the ,APPROVED,,
